pl_name,pl_letter,hostname,gaia_id,disc_locale,ra,dec,pl_orbper,st_spectype,pl_rade,pl_masse,st_lum,sy_dist,sky_coord.ra,sky_coord.dec
HD 43197 c,Unknown,Unknown,Unknown,Ground,93.3993231,-29.8971929,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,93.3993231,-29.8971929
HD 43691 b,Unknown,Unknown,Unknown,Ground,94.8946124,41.0920773,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,94.8946124,41.0920773
HD 44219 b,Unknown,Unknown,Unknown,Ground,95.0599971,-10.7250799,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,95.0599971,-10.7250799
HD 45184 b,Unknown,Unknown,Unknown,Ground,96.1820205,-28.7806402,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,96.1820205,-28.7806402
HD 45184 c,Unknown,Unknown,Unknown,Ground,96.1820205,-28.7806402,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,96.1820205,-28.7806402
HD 45350 b,Unknown,Unknown,Unknown,Ground,97.1902262,38.9627315,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,97.1902262,38.9627315
HD 45364 b,Unknown,Unknown,Unknown,Ground,96.4105736,-31.4810037,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,96.4105736,-31.4810037
HD 45364 c,Unknown,Unknown,Unknown,Ground,96.4105736,-31.4810037,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,96.4105736,-31.4810037
HD 45652 b,Unknown,Unknown,Unknown,Ground,97.3058709,10.9336212,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,97.3058709,10.9336212
HD 457 b,Unknown,Unknown,Unknown,Ground,2.2492922,-39.7372401,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,2.2492922,-39.7372401
