Index,pl_name,hostname,ra,dec,sy_gaiamag,sy_dist
176,TOI-2803 A b,TOI-2803 A,93.1147397,-23.4924956,12.4272,494.818
177,TOI-1288 b,TOI-1288,313.1670294,65.6087833,10.4468,114.865
178,TOI-5232 b,TOI-5232,294.3374248,35.2764934,12.168,609.388
179,TOI-3082 b,TOI-3082,195.9080719,-19.2189845,12.5313,113.048
180,TOI-3785 b,TOI-3785,130.9002258,63.0780768,13.6559,79.7634
181,TOI-4860 b,TOI-4860,183.563961,-13.1748411,15.1091,80.1423
182,NGTS-3 A b,NGTS-3 A,94.4447595,-35.706364,14.4878,743.972
183,XO-6 b,XO-6,94.7929552,73.8275672,10.191,235.479
184,TOI-5344 b,TOI-5344,63.2662165,20.9151568,14.3361,138.367
185,TOI-4145 A b,TOI-4145 A,39.4297435,80.2673838,12.0572,205.387
186,HD 207897 b,HD 207897,325.2016451,84.3337613,8.13037,28.2938
187,NGTS-14 A b,NGTS-14 A,328.5174799,-38.3774193,13.0986,322.148
188,TOI-2818 b,TOI-2818,119.0598183,-35.1167104,11.8367,312.674
189,NGTS-30 b,NGTS-30,173.714867,-24.6054801,12.1755,238.377
190,TOI-2141 b,TOI-2141,258.7623456,18.3403449,9.34408,77.682
191,TOI-4127 b,TOI-4127,105.4045516,72.4149297,11.4122,319.632
192,TOI-1408 b,TOI-1408,313.5110469,72.5806455,9.18795,139.484
193,HAT-P-64 b,HAT-P-64,68.9743955,2.4312732,12.6221,651.897
194,BD-14 3065 b,BD-14 3065 A,153.6696689,-15.6428372,10.91,589.423
195,NGTS-5 b,NGTS-5,221.0582692,5.6053735,13.526,306.779
196,TOI-3071 b,TOI-3071,173.2790517,-56.5033871,12.2766,485.219
197,NGTS-2 b,NGTS-2,215.1227617,-31.2020698,10.8605,356.391
198,HR 8799 b,HR 8799,346.8701486,21.1340376,5.90914,41.2441
199,TOI-1669 b,TOI-1669,45.9564744,83.5874273,10.0089,111.276
200,NGTS-12 b,NGTS-12,176.2499418,-35.640563,12.1279,446.442
